"","Top Module","Measure"
"1","8_15_29","13.8600442327293"
"2","15_29","13.3020483260447"
"3","8_29","12.5940313617839"
"4","1_29","12.5044543819229"
"5","8_15_31","10.167489390417"
"6","15_30_31","9.79815377046526"
"7","8_16","9.65617538809828"
"8","15_31","9.33839152923712"
"9","8_30_31","9.00684380083017"
"10","8_31","8.47308951392644"
"11","8_15_30","7.67592039688904"
"12","7_9","7.0191376478758"
"13","8_9_15","6.19440986485541"
"14","9_12","6.07480411051307"
"15","9_14","6.01136710041773"
"16","15_30","5.89100027672626"
"17","8_9","5.75109196829978"
"18","12_19","5.65927177491984"
"19","9_15","5.48943796869927"
"20","9_27","5.46318230047638"
"21","7_12","5.29213957801238"
"22","8_15","5.26286901612811"
"23","4_19_22_23","5.04644009213791"
"24","2_19_27","4.8260814251551"
"25","4_19_23","4.60334252258268"
"26","4_19_27","4.55580725282096"
"27","6_8_11_30","4.51436923564199"
"28","19_27","4.1142657969078"
"29","8_11_30","4.06725541707171"
"30","8_11","3.83867089840907"
